time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
41:21.6,1.42196E+12,17.9,4.8,26.3,24.3,20.9,35.5,32,31.2,-1.386,-1.493,-1.571
41:21.6,1.42196E+12,17.9,12.8,29.7,32.1,27.4,35.5,26.9,32.9,-1.395,-1.522,-1.581
41:21.6,1.42196E+12,17.9,17.6,24.6,29,19.2,33.9,25.2,32.9,-1.395,-1.522,-1.586
41:21.7,1.42196E+12,19.4,14.4,28,30.6,8,33.9,25.2,29.5,-1.41,-1.493,-1.566
41:21.7,1.42196E+12,22.4,11.2,36.4,25.9,17.6,40.2,26.9,43,-1.4,-1.498,-1.566
41:21.7,1.42196E+12,19.4,12.8,26.3,24.3,17.6,27.6,11.6,29.5,-1.405,-1.493,-1.566
41:21.7,1.42196E+12,25.5,12.8,0,27.5,14.4,48.3,23.5,41.3,-1.4,-1.503,-1.566
41:21.7,1.42196E+12,17.9,12.8,24.6,21.3,14.4,33.9,30.3,31.2,-1.386,-1.493,-1.571
41:21.8,1.42196E+12,17.9,11.2,26.3,38.5,24.1,37,28.6,34.6,-1.391,-1.493,-1.571
41:21.8,1.42196E+12,23.9,4.8,24.6,21.3,16,35.5,28.6,36.2,-1.391,-1.513,-1.586
41:21.8,1.42196E+12,17.9,14.4,26.3,27.5,1.6,38.6,25.2,29.5,-1.395,-1.498,-1.581
41:21.9,1.42196E+12,17.9,12.8,26.3,27.5,11.2,41.8,30.3,48.2,-1.395,-1.498,-1.581
41:21.9,1.42196E+12,19.4,12.8,24.6,27.5,12.8,41.8,25.2,37.9,-1.405,-1.493,-1.571
41:21.9,1.42196E+12,20.9,16,13,29,9.6,41.8,33.8,43,-1.376,-1.488,-1.562
41:21.9,1.42196E+12,19.4,12.8,21.3,24.3,11.2,43.4,42.5,43,-1.4,-1.488,-1.571
41:21.9,1.42196E+12,27,11.2,24.6,24.3,11.2,45,39,48.2,-1.4,-1.522,-1.591
41:22.0,1.42196E+12,19.4,19.2,21.3,24.3,9.6,49.9,42.5,62.1,-1.391,-1.522,-1.586
41:22.0,1.42196E+12,22.4,30.7,24.6,27.5,1.6,61.3,53.1,55.1,-1.395,-1.503,-1.571
41:22.0,1.42196E+12,16.4,25.8,19.6,25.9,9.6,37,25.2,43,-1.4,-1.503,-1.566
41:22.1,1.42196E+12,17.9,14.4,19.6,27.5,9.6,27.6,13.3,32.9,-1.43,-1.493,-1.566
41:22.1,1.42196E+12,20.9,11.2,28,25.9,8,22.9,13.3,29.5,-1.444,-1.488,-1.586
41:22.1,1.42196E+12,17.9,11.2,21.3,24.3,9.6,24.5,10,29.5,-1.42,-1.498,-1.571
41:22.1,1.42196E+12,11.9,8,22.9,27.5,1.6,26,16.7,27.8,-1.395,-1.522,-1.571
41:22.2,1.42196E+12,20.9,25.8,21.3,24.3,8,24.5,18.4,24.5,-1.405,-1.562,-1.566
41:22.2,1.42196E+12,17.9,11.2,21.3,25.9,0,26,16.7,32.9,-1.386,-1.493,-1.684
41:22.2,1.42196E+12,16.4,11.2,21.3,27.5,14.3,26,18.4,31.2,-1.4,-1.503,-1.566
41:22.3,1.42196E+12,17.9,11.2,28,32.1,11.1,24.5,16.7,3.2,-1.41,-1.493,-1.547
41:22.3,1.42196E+12,19.4,12.8,18,25.9,11.1,18.3,6.6,26.2,-1.391,-1.493,-1.566
41:22.3,1.42196E+12,28.5,14.4,18,25.9,11.1,29.2,25.2,24.5,-1.405,-1.498,-1.571
41:22.4,1.42196E+12,16.4,11.2,21.3,25.9,11.1,24.5,13.3,24.5,-1.366,-1.449,-1.576
41:22.4,1.42196E+12,22.4,12.8,21.3,24.3,9.5,21.4,33.8,22.8,-1.41,-1.508,-1.566
