time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
12:19.0,1.42E+12,31.6,30.6,49.4,49.3,21.7,49.4,50.3,46,0.354,0.481,0.012
12:19.1,1.42E+12,30,42.3,51,16.9,38.5,47.8,62.4,35.4,0.525,0.477,-0.002
12:19.1,1.42E+12,33.3,40.6,51,58.4,45.6,43,39.9,38.4,0.535,0.511,0.086
12:19.1,1.42E+12,39.8,25.7,52.7,50.8,44.2,47.8,56.3,46,0.525,0.804,0.291
12:19.1,1.42E+12,28.4,85.6,67.3,22.7,48.5,47.8,56.3,44.5,0.354,0.477,0.081
12:19.1,1.42E+12,31.6,17.6,49.4,63,66.1,24.2,74.7,44.5,0.374,0.477,0.027
12:19.2,1.42E+12,30,40.6,49.4,22.7,32.8,47.8,38.5,44.5,0.521,0.481,0.012
12:19.2,1.42E+12,33.3,38.9,51,49.3,42.8,43,35.5,43,0.486,0.511,0.042
12:19.2,1.42E+12,46.4,19.2,54.3,52.3,42.8,47.8,56.3,46,0.565,0.863,0.359
12:19.2,1.42E+12,28.4,64.5,47.8,50.8,42.8,51,68.5,46,0.301,0.481,0.012
12:19.3,1.42E+12,25.2,40.6,47.8,63,42.8,47.8,56.3,46,0.291,0.477,-0.032
12:19.3,1.42E+12,31.6,40.6,49.4,28.5,34.2,47.8,56.3,71.2,0.359,0.667,0.149
12:19.3,1.42E+12,31.6,38.9,51,40.3,57.2,43,25.4,43,0.599,0.628,0.066
12:19.4,1.42E+12,10.9,40.6,47.8,52.3,41.3,49.4,63.9,46,0.364,0.731,0.271
12:19.4,1.42E+12,28.4,50.7,70.6,28.5,64.6,47.8,56.3,46,0.217,0.296,-0.154
12:19.4,1.42E+12,31.6,12.7,39.9,52.3,25.8,49.4,81,44.5,0.349,0.472,0.012
12:19.4,1.42E+12,31.6,40.6,49.4,40.3,10.7,47.8,70.1,47.6,0.511,0.486,0.012
12:19.4,1.42E+12,36.5,40.6,49.4,50.8,48.5,47.8,34.1,41.4,0.745,0.56,0.027
12:19.5,1.42E+12,25.2,42.3,38.3,53.8,41.3,49.4,54.8,44.5,0.428,0.853,0.296
12:19.5,1.42E+12,25.2,49,62.4,56.9,21.7,52.7,56.3,46,0.34,0.296,-0.154
12:19.5,1.42E+12,30,25.7,33.6,52.3,27.2,51,68.5,46,0.354,0.481,0.012
12:19.5,1.42E+12,30,44,54.3,53.8,27.2,44.6,85.7,50.7,0.496,0.501,0.032
