time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
31:48.5,1.42E+12,92.7,81.9,99.2,104,55.8,201.9,175.4,433.4,0.276,0.716,-0.34
31:48.5,1.42E+12,105.3,78.3,92.5,124.5,78,171.6,92.1,281.2,0.696,0.604,-0.252
31:48.5,1.42E+12,121.7,71.1,87.4,89,67.5,148.1,175.4,241.3,0.584,0.936,-0.266
31:48.5,1.42E+12,61.5,71.1,36,94,72,148.1,98.5,190,0.095,0.54,-0.428
31:48.5,1.42E+12,83.9,69.3,54.8,89,115.4,146.2,108.3,193.8,0.198,0.535,-1.004
31:48.6,1.42E+12,82.2,67.5,100.9,89,49.9,98.1,111.5,138.5,0.525,0.721,-0.956
31:48.6,1.42E+12,80.4,62.2,70.9,152.9,78,96.3,101.7,126.3,0.833,0.599,-0.975
31:48.6,1.42E+12,105.3,80.1,74.2,76,69,89.2,106.6,122.8,0.237,0.887,0.545
31:48.6,1.42E+12,51.4,64,127,85.8,67.5,64.9,70.1,119.3,0.711,1.058,0.442
31:48.7,1.42E+12,78.7,132.6,48.5,84.1,90.2,80.4,103.4,99,0.731,1,0.496
31:48.7,1.42E+12,75.2,60.5,141.3,84.1,61.6,78.7,106.6,102.3,0.423,0.711,0.379
31:48.7,1.42E+12,76.9,51.7,62.8,124.5,60.1,80.4,87.3,109.1,0.633,0.638,0.046
31:48.8,1.42E+12,68.3,64,85.8,85.8,66.1,80.4,113.2,107.4,0.002,0.736,-0.301
31:48.8,1.42E+12,64.9,57,79.1,97.3,61.6,105.3,98.5,107.4,0.364,0.369,-1.175
31:48.8,1.42E+12,73.5,58.7,61.2,84.1,90.2,89.2,82.6,109.1,1.058,0.54,-1.039
31:48.8,1.42E+12,75.2,60.5,69.3,84.1,47.1,75.2,100.1,85.8,2.226,0.667,-1.078
31:48.9,1.42E+12,75.2,43.1,75.8,84.1,66.1,75.2,70.1,99,1.645,0.618,-0.584
31:48.9,1.42E+12,248.9,152.3,84.1,72.8,44.2,75.2,100.1,94,0.521,0.828,-0.613
31:48.9,1.42E+12,402.1,217.1,113,138.5,73.5,105.3,108.3,128,-0.799,0.452,1.532
31:49.0,1.42E+12,273.5,202,104.3,143.9,85.6,131,129.9,197.6,0.301,0.535,-0.012
31:49.0,1.42E+12,240.1,191.4,128.8,162,58.7,177.5,147,219.1,0.843,0.863,-0.11
31:49.0,1.42E+12,187.6,162.4,94.1,156.5,94.9,208.2,138.4,251.6,0.56,0.789,-0.042
31:49.0,1.42E+12,179.5,148.3,123.4,152.9,91.8,240.1,164.6,279.1,0.296,0.77,0.032
31:49.0,1.42E+12,98.1,98.4,116.4,104,90.2,214.5,164.6,292.1,0.017,0.54,-0.374
31:49.1,1.42E+12,105.3,91,61.2,100.7,90.2,214.5,135,417.6,0.276,0.535,-0.345
31:49.1,1.42E+12,101.7,83.7,95.8,99,44.2,153.9,129.9,279.1,0.281,0.711,-0.315
31:49.1,1.42E+12,91,67.5,61.2,95.7,72,129.2,118.2,209.3,0.838,0.902,-0.521
31:49.2,1.42E+12,101.7,60.5,85.8,97.3,67.5,131,128.2,203.4,0.051,0.755,-0.242
31:49.2,1.42E+12,64.9,72.9,82.4,72.8,72,107.1,113.2,151.1,0.33,0.53,-1.146
31:49.2,1.42E+12,89.2,74.7,42.2,82.5,69,114.4,111.5,112.5,0.921,0.535,-1.097
31:49.2,1.42E+12,64.9,71.1,54.8,97.3,44.2,78.7,103.4,152.9,0.213,0.711,-0.809
31:49.3,1.42E+12,61.5,72.9,75.8,90.7,66.1,89.2,101.7,99,0.657,0.794,0.252
31:49.3,1.42E+12,83.9,46.6,74.2,84.1,67.5,83.9,101.7,124.5,0.252,0.437,0.789
31:49.3,1.42E+12,51.4,62.2,72.6,85.8,66.1,82.2,98.5,112.5,0.794,0.706,0.174
31:49.4,1.42E+12,82.2,53.5,70.9,72.8,66.1,105.3,98.5,112.5,0.662,0.926,0.271
31:49.4,1.42E+12,78.7,65.8,72.6,87.4,55.8,53.1,98.5,152.9,0.413,0.711,-0.174
31:49.4,1.42E+12,80.4,58.7,72.6,85.8,66.1,78.7,96.9,99,0.672,0.941,-0.872
31:49.4,1.42E+12,91,80.1,48.5,100.7,64.6,76.9,96.9,105.7,0.54,0.648,-0.936
31:49.4,1.42E+12,78.7,55.2,72.6,115.9,64.6,76.9,88.9,99,1.879,0.696,-1.087
31:49.5,1.42E+12,91,65.8,70.9,66.4,61.6,78.7,100.1,104,2.314,0.535,-0.956
31:49.5,1.42E+12,78.7,65.8,94.1,117.6,64.6,58.1,95.3,124.5,1.048,0.716,-0.252
31:49.5,1.42E+12,264.4,166.5,99.2,92.3,73.5,75.2,95.3,99,0.77,0.951,-1.014
31:49.6,1.42E+12,410.4,234.8,113,99,79.5,96.3,105,122.8,-0.965,0.584,2.329
31:49.6,1.42E+12,251.1,174.7,119.9,99,88.7,138.6,133.3,165.6,0.203,0.535,-0.051
31:49.6,1.42E+12,227.2,187.2,125.2,154.7,93.3,214.5,168.2,215.2,0.643,0.535,-0.159
31:49.7,1.42E+12,177.5,172.6,128.8,154.7,98,191.7,154,425.5,0.574,0.863,0.115
31:49.7,1.42E+12,155.9,134.6,119.9,151.1,94.9,208.2,159.3,255.8,0.594,0.946,-0.051
31:49.7,1.42E+12,107.1,138.5,114.7,119.3,76.5,193.7,159.3,402,0.403,0.716,-0.174
31:49.8,1.42E+12,96.3,81.9,100.9,152.9,113.8,183.6,175.4,287.7,0.217,0.53,-0.379
31:49.8,1.42E+12,94.5,81.9,95.8,85.8,73.5,208.2,135,268.4,0.335,0.54,-0.379
31:49.8,1.42E+12,89.2,80.1,87.4,152.9,72,136.7,114.8,279.1,0.34,0.545,-0.501
31:49.8,1.42E+12,89.2,76.5,72.6,80.9,72,131,119.8,169.3,0.13,0.956,-0.467
31:49.8,1.42E+12,85.7,72.9,85.8,84.1,45.6,82.2,108.3,152.9,0.208,0.745,-0.965
31:49.9,1.42E+12,89.2,53.5,74.2,110.8,90.2,96.3,133.3,135,0.652,0.53,-1.146
31:49.9,1.42E+12,85.7,80.1,79.1,47.6,67.5,134.8,119.8,99,0.071,0.53,-0.364
31:49.9,1.42E+12,89.2,69.3,75.8,89,66.1,71.7,101.7,124.5,0.208,0.55,0.276
31:49.9,1.42E+12,101.7,39.7,85.8,87.4,66.1,105.3,100.1,99,0.696,0.951,0.941
31:50.0,1.42E+12,78.7,81.9,79.1,87.4,112.2,78.7,136.7,114.2,0.389,0.54,0.511
31:50.0,1.42E+12,82.2,53.5,70.9,97.3,58.7,80.4,95.3,99,0.995,0.701,-0.051
31:50.0,1.42E+12,82.2,76.5,72.6,47.6,64.6,78.7,76.3,110.8,0.511,0.545,-0.144
31:50.1,1.42E+12,98.1,39.7,75.8,85.8,66.1,51.4,95.3,110.8,0.408,0.565,-0.936
31:50.1,1.42E+12,76.9,64,43.8,90.7,64.6,75.2,96.9,79.2,0.926,0.892,-1.053
31:50.1,1.42E+12,75.2,80.1,67.7,84.1,55.8,51.4,96.9,107.4,2.241,0.672,-1.053
31:50.2,1.42E+12,78.7,57,67.7,84.1,48.5,73.5,93.7,107.4,2.251,0.54,-0.975
31:50.2,1.42E+12,76.9,62.2,70.9,55.4,63.1,91,119.8,79.2,1.684,0.535,0.125
31:50.2,1.42E+12,183.6,105.9,92.5,72.8,69,38.2,88.9,104,0.819,0.716,0.022
31:50.2,1.42E+12,518.2,252.8,141.3,117.6,75,83.9,106.6,105.7,-0.076,0.936,-0.261
31:50.2,1.42E+12,452.5,241.5,113,156.5,90.2,136.7,123.2,6677.8,0.11,0.54,0.266
31:50.3,1.42E+12,266.7,174.7,121.7,182.4,121.8,152,157.5,229.1,0.574,0.535,-0.12
31:50.3,1.42E+12,189.6,187.2,125.2,115.9,94.9,204,177.2,259.9,0.374,0.804,0.11
