time,time_milisec,gx,gy,gz,resultant
49:25.0,1.42163E+12,2.846885,1.3003366,0.83029664,3.238058367
49:25.0,1.42163E+12,3.0312772,2.5100763,-0.8313635,4.022473091
49:25.0,1.42163E+12,3.1197426,2.797856,-0.80898046,4.267931756
49:25.0,1.42163E+12,1.4346337,1.8258007,0.25047457,2.335478443
49:25.1,1.42163E+12,-0.5968762,-1.5604047,0.05542411,1.671584834
49:25.1,1.42163E+12,-0.7588853,-0.10338764,0.14069188,0.778710542
49:25.1,1.42163E+12,-2.089066,0.8878529,-0.4092866,2.306511445
49:25.1,1.42163E+12,-2.679547,-0.36771864,-1.0413357,2.898201022
49:25.1,1.42163E+12,-2.382175,-1.1052867,-0.8313635,2.754556532
49:25.2,1.42163E+12,-2.5942793,-1.0008333,-0.58088845,2.840666079
49:25.2,1.42163E+12,-3.24125,-1.7405331,-0.561703,3.721648465
49:25.2,1.42163E+12,-3.4682763,-3.2615013,-1.2545058,4.923425233
49:25.3,1.42163E+12,-3.2391183,-1.0978255,-1.9323865,3.928259892
49:25.3,1.42163E+12,-2.4120185,3.2913446,-0.8825239,4.174880951
49:25.3,1.42163E+12,-1.2065427,5.5775924,0.012789832,5.706614219
49:25.3,1.42163E+12,0.15561382,4.1930537,-1.3046006,4.394075297
49:25.3,1.42163E+12,-1.2982059,-1.550812,-2.0165884,2.856043626
49:25.3,1.42163E+12,-1.2822177,-2.6209254,-1.3845394,3.229594639
49:25.3,1.42163E+12,-0.8803923,-2.6763496,-0.6469713,2.890762814
49:25.4,1.42163E+12,-0.34533557,-2.8266344,0.037304495,2.847895769
49:25.4,1.42163E+12,0.48496163,-2.3480678,0.50841,2.45093674
49:25.4,1.42163E+12,1.966493,-0.80045354,0.7663456,2.257234185
49:25.4,1.42163E+12,3.4032586,1.2704929,0.90064275,3.742656633
49:25.4,1.42163E+12,3.6558652,2.7093904,0.9198281,4.642437984
49:25.5,1.42163E+12,1.8428545,2.5729613,0.2451453,3.174324933
49:25.5,1.42163E+12,-1.4708732,2.8831239,-1.0402699,3.399710702
