time,time_milisec,ax,ay,az,resultant
49:25.5,1.42163E+12,3.4928367,-3.9751337,-8.300988,9.844185996
49:25.5,1.42163E+12,7.709568,-17.0949,-15.457456,24.30238652
49:25.5,1.42163E+12,3.3759298,-14.434783,-13.43591,20.00708724
49:25.5,1.42163E+12,-2.1209395,-1.3798306,7.1480856,7.582706944
49:25.5,1.42163E+12,-8.0210705,-6.113587,12.750186,16.25671434
49:25.6,1.42163E+12,-16.624279,-17.516724,14.830709,28.33994004
49:25.6,1.42163E+12,-6.9572325,-8.841963,0.4447252,11.25971466
49:25.6,1.42163E+12,-7.240443,-6.742728,-0.3939807,9.901697658
49:25.6,1.42163E+12,-7.7086697,-12.70962,9.207354,17.48523368
49:25.6,1.42163E+12,-5.4423823,-17.919985,8.171207,20.4331596
49:25.7,1.42163E+12,-0.6186635,-19.295025,-1.0442286,19.33316186
49:25.7,1.42163E+12,4.086502,-17.380507,-2.8589048,18.08189312
49:25.7,1.42163E+12,4.4560833,-18.703754,-0.2468367,19.22883305
49:25.7,1.42163E+12,4.660259,-18.741476,-4.336931,19.7931783
49:25.7,1.42163E+12,5.281467,-14.490317,-11.277997,19.10644909
49:25.8,1.42163E+12,4.0824604,-12.682976,-10.609338,17.03180601
49:25.8,1.42163E+12,1.9202069,-8.270601,-6.743327,10.84262397
49:25.8,1.42163E+12,2.2333558,-4.1613464,-6.6596513,8.164290381
49:25.8,1.42163E+12,5.85223,-3.3456926,-6.201903,9.160013961
49:25.8,1.42163E+12,4.627627,-2.4602838,-0.327968,5.251237096
49:25.9,1.42163E+12,0.57166123,-1.4476396,1.974993,2.514568417
49:25.9,1.42163E+12,-2.0679498,-1.2957056,-0.120200045,2.443300519
49:25.9,1.42163E+12,-1.8058448,-7.858658,-3.1910641,8.671935833
49:25.9,1.42163E+12,1.0118958,-16.791931,-2.1607566,16.960594
49:25.9,1.42163E+12,-4.9416738,-19.201769,-5.480553,20.57096337
49:26.0,1.42163E+12,-8.041877,-19.185604,-2.5138724,20.95420581
49:26.0,1.42163E+12,-5.8640556,-19.398611,-0.6503975,20.27600241
49:26.0,1.42163E+12,-2.3444247,-19.556383,4.475992,20.19858776
49:26.0,1.42163E+12,1.1936178,-17.184864,5.394632,18.05121405
49:26.0,1.42163E+12,2.3041584,-10.632091,1.8604811,11.03684261
49:26.1,1.42163E+12,0.5906717,-6.460565,3.0237122,7.15755745
49:26.1,1.42163E+12,-2.8313622,-2.5512946,2.4589367,4.535646121
49:26.1,1.42163E+12,-6.8687663,1.7197738,1.723965,7.287635263
49:26.1,1.42163E+12,-8.586445,4.8499146,0.014968872,9.861487384
49:26.1,1.42163E+12,-7.466324,6.114485,0.6644682,9.67338818
49:26.2,1.42163E+12,-5.95312,5.2383566,0.22498214,7.932883118
49:26.2,1.42163E+12,-0.21989273,-0.086969145,-4.001928,4.008908101
49:26.2,1.42163E+12,10.009984,-14.97007,-13.874049,22.73305987
49:26.2,1.42163E+12,6.390062,-18.189125,-17.373022,25.95186032
49:26.3,1.42163E+12,-0.8680449,-5.1373167,7.91045,9.472103464
49:26.3,1.42163E+12,-10.249336,-12.691059,12.371623,20.47361528
49:26.3,1.42163E+12,-11.5646515,-16.870966,12.162508,23.79700105
49:26.3,1.42163E+12,-8.08873,-3.4983752,4.538263,9.912719764
49:26.3,1.42163E+12,-9.807006,-8.070019,5.0644183,13.67299916
49:26.3,1.42163E+12,-9.246122,-16.788038,13.228741,23.28794925
49:26.4,1.42163E+12,-5.762417,-19.201172,6.810088,21.17233465
49:26.4,1.42163E+12,3.389252,-18.8991,-12.445569,22.88132858
49:26.4,1.42163E+12,7.5318875,-19.140846,-2.7156527,20.74791759
49:26.4,1.42163E+12,6.028414,-18.772612,-2.0944445,19.82774406
49:26.4,1.42163E+12,4.4848237,-14.704672,-10.104737,18.39692181
49:26.5,1.42163E+12,2.6812243,-11.283536,-9.330098,14.88482036
49:26.5,1.42163E+12,0.48065048,-8.567434,-5.709577,10.30685305
49:26.5,1.42163E+12,0.9912387,-4.036656,-7.5655675,8.632204667
49:26.5,1.42163E+12,4.1055126,-2.843936,-6.691535,8.349841097
49:26.5,1.42163E+12,2.7702892,-1.7452208,0.12813355,3.27669286
49:26.6,1.42163E+12,-0.30341902,-0.58558226,0.2838098,0.717995604
49:26.6,1.42163E+12,-2.0907023,-1.7051042,-0.97776675,2.869572138
49:26.6,1.42163E+12,-1.169518,-9.401051,-1.3862672,9.574406979
49:26.6,1.42163E+12,1.8250049,-17.87882,-2.0305276,18.08606894
49:26.6,1.42163E+12,-5.793852,-19.349663,-5.510341,20.93661953
49:26.7,1.42163E+12,-8.254135,-17.634678,-1.2874727,19.51333387
49:26.7,1.42163E+12,-6.356981,-19.205362,0.24968079,20.23164545
49:26.7,1.42163E+12,-1.728755,-19.334394,4.6291237,19.95585557
49:26.7,1.42163E+12,1.6976198,-15.953525,7.6375675,17.76877346
49:26.7,1.42163E+12,2.611619,-9.518556,2.347718,10.14570066
49:26.8,1.42163E+12,-0.39457947,-5.5230646,4.054169,6.862668709
49:26.8,1.42163E+12,-3.8199065,-1.4166541,3.3699422,5.287258736
49:26.8,1.42163E+12,-7.1364098,2.792443,2.8219318,8.166356705
49:26.8,1.42163E+12,-7.3494167,5.9025254,3.1081367,9.925434281
49:26.8,1.42163E+12,-6.112539,4.943021,1.0349479,7.928915865
49:26.9,1.42163E+12,-5.4233723,3.9474413,-2.565964,7.181882147
49:26.9,1.42163E+12,3.382516,-4.7190866,-12.025094,13.35342947
49:26.9,1.42163E+12,6.183641,-17.387691,-16.867224,25.00144915
49:26.9,1.42163E+12,2.4860303,-12.000395,-7.870783,14.56499406
49:26.9,1.42163E+12,-3.6122882,-2.151925,11.698473,12.43115754
49:27.0,1.42163E+12,-13.342804,-15.255077,12.372671,23.74512119
49:27.0,1.42163E+12,-10.235715,-12.983401,9.021589,18.83421438
49:27.0,1.42163E+12,-8.307724,-3.575315,4.5463457,10.12276714
49:27.0,1.42163E+12,-9.60313,-11.213182,11.076666,18.45665425
49:27.0,1.42163E+12,-7.1221895,-18.14856,12.258159,23.0295088
49:27.1,1.42163E+12,-0.07080276,-19.386335,-9.270372,21.48894587
49:27.1,1.42163E+12,5.926775,-17.554745,-5.9418936,19.45769343
49:27.1,1.42163E+12,6.6075597,-18.40378,1.6108003,19.6202355
49:27.1,1.42163E+12,4.611161,-18.337616,-5.6890697,19.74579652
49:27.1,1.42163E+12,4.545448,-16.268919,-11.72856,20.56448255
49:27.2,1.42163E+12,3.3943415,-12.033925,-8.756491,15.26476465
49:27.2,1.42163E+12,0.35506165,-8.09322,-6.634803,10.47124107
49:27.2,1.42163E+12,-0.20477417,-3.2718961,-7.323221,8.023515586
49:27.2,1.42163E+12,3.0196705,-1.7655785,-5.7534356,6.733327452
49:27.2,1.42163E+12,2.8710296,-0.90696394,-1.0716215,3.195898495
49:27.3,1.42163E+12,0.13516891,0.103734285,-0.17708176,0.245742519
49:27.3,1.42163E+12,-1.2915143,-1.0178833,-0.6673123,1.774655264
49:27.3,1.42163E+12,-1.0452763,-7.492968,-1.2678635,7.671026649
49:27.3,1.42163E+12,2.9650342,-17.447268,-0.49531996,17.70434778
49:27.3,1.42163E+12,-4.2248144,-19.290834,-6.731053,20.86366237
49:27.4,1.42163E+12,-7.7688446,-17.53259,-2.822231,19.38328265
49:27.4,1.42163E+12,-6.9805837,-19.111807,-0.4406836,20.35150898
49:27.4,1.42163E+12,-3.4170942,-19.44202,2.60159,19.91072437
