time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
41:39.1,1.42171E+12,28.6,45.8,80.7,45.1,67.2,50.7,54.9,41,-1.405,-1.513,-1.562
41:39.1,1.42171E+12,28.6,39.1,56.2,35.5,65.5,44.2,54.9,37.5,-1.42,-1.508,-1.562
41:39.2,1.42171E+12,34.8,42.4,66.6,21.4,65.5,42.5,49.5,39.3,-1.395,-1.513,-1.527
41:39.2,1.42171E+12,27.1,44.1,66.6,29.2,67.2,42.5,60.2,35.8,-1.391,-1.513,-1.557
41:39.2,1.42171E+12,28.6,47.5,66.6,34,63.9,40.9,53.1,35.8,-1.391,-1.503,-1.62
41:39.2,1.42171E+12,30.1,45.8,61.3,35.5,63.9,40.9,54.9,35.8,-1.366,-1.508,-1.566
41:39.3,1.42171E+12,27.1,42.4,61.3,35.5,72.3,42.5,53.1,37.5,-1.386,-1.483,-1.566
41:39.3,1.42171E+12,25.5,40.7,61.3,37.1,63.9,45.8,53.1,35.8,-1.405,-1.547,-1.562
41:39.3,1.42171E+12,25.5,39.1,63.1,35.5,63.9,49.1,53.1,37.5,-1.41,-1.513,-1.552
41:39.4,1.42171E+12,21,40.7,61.3,45.1,62.2,50.7,51.3,35.8,-1.395,-1.552,-1.562
41:39.4,1.42171E+12,27.1,40.7,68.3,29.2,86,45.8,60.2,37.5,-1.395,-1.508,-1.566
41:39.4,1.42171E+12,33.2,39.1,78.9,34,128.8,98.5,80.3,55.3,-1.391,-1.488,-1.513
41:39.4,1.42171E+12,27.1,42.4,109.8,35.5,172.5,142.2,97.1,57.1,-1.371,-1.518,-1.566
41:39.5,1.42171E+12,28.6,64.7,159.9,41.9,192.3,134.7,95.2,34,-1.4,-1.513,-1.562
41:39.5,1.42171E+12,76.5,169.5,159.9,79.9,190.3,134.7,116.3,48.1,-1.444,-1.508,-1.562
41:39.5,1.42171E+12,71.6,149.6,157.9,83.3,184.3,132.9,114.4,48.1,-1.41,-1.508,-1.557
41:39.5,1.42171E+12,68.3,137.9,157.9,64.8,190.3,132.9,106.7,48.1,-1.395,-1.513,-1.562
41:39.6,1.42171E+12,56.9,126.5,153.9,71.4,188.3,134.7,97.1,46.3,-1.395,-1.488,-1.571
41:39.6,1.42171E+12,58.5,120.8,150,78.2,178.4,131,106.7,41,-1.391,-1.508,-1.606
41:39.6,1.42171E+12,56.9,132.2,148,73.1,186.3,123.6,104.8,44.6,-1.405,-1.513,-1.566
41:39.6,1.42171E+12,47.3,104,138.3,71.4,174.4,114.6,102.8,41,-1.395,-1.513,-1.566
41:39.7,1.42171E+12,42.6,87.7,140.2,79.9,168.6,123.6,102.8,46.3,-1.444,-1.513,-1.557
41:39.7,1.42171E+12,34.8,73.4,132.5,64.8,164.7,121.8,100.9,48.1,-1.41,-1.498,-1.557
41:39.7,1.42171E+12,45.8,73.4,136.4,48.4,162.8,121.8,100.9,51.7,-1.391,-1.508,-1.591
41:39.8,1.42171E+12,34.8,66.4,134.4,58.2,166.6,120,97.1,55.3,-1.395,-1.503,-1.566
41:39.8,1.42171E+12,31.7,64.7,132.5,58.2,162.8,116.4,99,48.1,-1.386,-1.508,-1.576
41:39.8,1.42171E+12,33.2,66.4,124.9,53.2,166.6,118.2,104.8,51.7,-1.391,-1.503,-1.566
41:39.8,1.42171E+12,22.5,52.6,115.4,56.5,149.4,125.5,106.7,55.3,-1.395,-1.513,-1.566
