time,time_milisec,ax,ay,az,resultant,MA_x,MA_y,MA_z,MA_R
41:39.0,1.42E+12,-1.1326946,-4.7219305,-2.4893234,5.456771545,-2.031338825,-8.663040166,-2.113341281,9.331049744
41:39.0,1.42E+12,-0.08831634,-5.2150054,-1.9185604,5.557423423,-2.020414541,-8.609200134,-2.188164687,9.279415787
41:39.1,1.42E+12,0.6879694,-7.4317455,-1.3130695,7.578145854,-1.981190109,-8.594794084,-2.209833627,9.265897167
41:39.1,1.42E+12,1.0987152,-10.90183,-1.4235398,11.04914196,-1.920596115,-8.629267404,-2.215833153,9.297956963
41:39.1,1.42E+12,1.3271402,-12.142899,-1.5018269,12.30718413,-1.852131485,-8.689115944,-2.221572217,9.354785401
41:39.1,1.42E+12,0.95875627,-10.228081,-2.5438101,10.58318593,-1.800036818,-8.717655604,-2.239909085,9.38444298
41:39.1,1.42E+12,0.368833,-8.643326,-3.3394058,9.273335604,-1.763824122,-8.714790564,-2.274235705,9.388893541
41:39.2,1.42E+12,-0.24863297,-8.979826,-4.325555,9.970432258,-1.743673025,-8.720065584,-2.324246707,9.40843711
41:39.2,1.42E+12,-0.8810678,-10.342293,-4.4117756,11.2784338,-1.736820275,-8.756032784,-2.366375099,9.45533188
41:39.2,1.42E+12,-1.7938696,-10.715767,-3.7386255,11.49012407,-1.753902751,-8.810893712,-2.382661233,9.514255414
41:39.3,1.42E+12,-3.6178267,-10.488688,-3.4188905,11.60991207,-1.819553231,-8.855488972,-2.366009863,9.560553496
41:39.3,1.42E+12,-4.534371,-10.359358,-3.6510575,11.88305682,-1.907103175,-8.890857432,-2.359309795,9.608776035
41:39.3,1.42E+12,-4.2959166,-9.222472,-2.6141639,10.50441536,-1.978923823,-8.903323512,-2.366417013,9.640488623
41:39.3,1.42E+12,-3.4410443,-8.599767,-1.8324894,9.442181725,-2.019103269,-8.921914852,-2.387457261,9.672498661
41:39.3,1.42E+12,-2.9789553,-8.596923,-1.9722986,9.309737994,-2.042903777,-8.939356586,-2.407279041,9.698898379
41:39.3,1.42E+12,-2.5595274,-8.511451,-2.6379642,9.271182975,-2.058755811,-8.936341866,-2.423777729,9.703830945
41:39.3,1.42E+12,-2.5647666,-8.623268,-3.5078056,9.656266299,-2.081676149,-8.934174366,-2.471663151,9.718637008
41:39.4,1.42E+12,-3.0217662,-10.385553,-3.9733374,11.52294199,-2.117802023,-8.970440946,-2.527425193,9.774321501
41:39.4,1.42E+12,-2.6595194,-11.452684,-1.9576291,11.91928378,-2.139650587,-9.024502526,-2.548845649,9.834048359
41:39.4,1.42E+12,-2.1531227,-11.89232,1.3879138,12.16509421,-2.147314653,-9.090045226,-2.498146079,9.899958265
41:39.4,1.42E+12,-3.5476227,-16.094532,1.939367,16.59459947,-2.178189447,-9.236776106,-2.425663809,10.04903201
41:39.4,1.42E+12,-2.5207582,-19.106867,-11.044034,22.2125477,-2.187164787,-9.433565866,-2.603077879,10.29844886
41:39.5,1.42E+12,-0.8707393,-13.058694,-1.4025834,13.16263333,-2.163585821,-9.513026626,-2.614253641,10.3746589
41:39.5,1.42E+12,-4.060606,-7.818541,8.248298,12.06865876,-2.206830893,-9.506476246,-2.439255543,10.44844491
41:39.5,1.42E+12,-3.5372941,-5.9378524,6.3405147,9.379374571,-2.252384163,-9.459345254,-2.298087106,10.46762912
41:39.5,1.42E+12,-3.4741256,-7.7101665,5.4410353,10.05589784,-2.303104691,-9.428653064,-2.177824194,10.48255017
41:39.6,1.42E+12,-6.0950255,-11.638148,2.38035,13.35147523,-2.41501797,-9.470494044,-2.10296786,10.55646449
41:39.6,1.42E+12,-1.3585749,-12.235406,-4.871021,13.23924965,-2.431860946,-9.529615104,-2.168546496,10.63266758
41:39.6,1.42E+12,0.355361,-10.602153,-1.2490027,10.68138275,-2.416583715,-9.550089544,-2.158987374,10.65146649
41:39.6,1.42E+12,-0.19684067,-8.529563,1.3268409,8.634390424,-2.420885769,-9.512353024,-2.06650968,10.60563932
41:39.6,1.42E+12,-0.9855505,-7.9002714,-0.19220032,7.963826903,-2.432354918,-9.429706892,-1.978630426,10.50724502
41:39.6,1.42E+12,-1.181044,-7.9366455,-1.051713,8.092669952,-2.416721428,-9.267180882,-1.897029122,10.32956601
41:39.7,1.42E+12,-1.5739769,-8.585996,-1.5600559,8.867384338,-2.338542,-9.057589722,-1.8014918,10.09039736
41:39.7,1.42E+12,-1.2528946,-9.239686,-2.2032683,9.581019437,-2.227853172,-8.923968582,-1.75330101,9.923791015
41:39.7,1.42E+12,-0.7873627,-9.3067465,-2.689607,9.71953992,-2.100857258,-8.880016972,-1.757079154,9.842833256
41:39.7,1.42E+12,-0.2749782,-8.518187,-3.16427,9.091079551,-1.995665008,-8.867949072,-1.789558616,9.809055713
41:39.7,1.42E+12,-0.3412903,-7.2771173,-2.7937903,7.80244702,-1.940013734,-8.836394698,-1.798617778,9.771562844
41:39.8,1.42E+12,-1.0590477,-6.9394193,-1.6320561,7.2069917,-1.90445368,-8.765316504,-1.763042758,9.687849731
41:39.8,1.42E+12,-1.4247372,-7.9863424,-1.4694942,8.244449904,-1.86541486,-8.708955712,-1.711193582,9.61220924
41:39.8,1.42E+12,-0.9656419,-8.596623,-2.4544458,8.992146322,-1.823133784,-8.688963272,-1.696479178,9.580628797
41:39.8,1.42E+12,-1.0803035,-7.8019257,-1.5739769,8.032092104,-1.794016334,-8.677401306,-1.688734284,9.561823286
41:39.8,1.42E+12,-1.253194,-7.2500234,-0.39068756,7.367901416,-1.78343933,-8.687044254,-1.6622304,9.565064587
41:39.9,1.42E+12,-1.7675244,-7.4630303,-0.75308394,7.706367444,-1.788226376,-8.73904312,-1.635612752,9.609050499
41:39.9,1.42E+12,-2.0731888,-8.7946615,-1.7134868,9.196750498,-1.782433424,-8.834852884,-1.619006286,9.686990472
41:39.9,1.42E+12,-2.4884253,-9.267677,-0.83885556,9.632537366,-1.768314782,-8.943601724,-1.591373746,9.77045301
41:39.9,1.42E+12,-2.8363018,-8.713231,0.75847274,9.194579015,-1.756246878,-9.035244164,-1.533183751,9.83854391
41:40.0,1.42E+12,-2.2228775,-7.9680805,-0.4831952,8.286432817,-1.73702984,-9.102071204,-1.504189045,9.885480362
41:40.0,1.42E+12,-1.0823991,-8.50666,-0.7268884,8.605999007,-1.707119042,-9.169443098,-1.476655299,9.935174012
41:40.0,1.42E+12,-0.8628058,-10.115814,-1.2394226,10.22791744,-1.680899568,-9.266632988,-1.454537295,10.01667993
