time,time_milisec,gx,gy,gz,resultant,MA_x,MA_y,MA_z,MA_R
00:40.9,1.42E+12,0.015987223,0.047962997,-0.17266817,0.179917585,0.060497337,0.015625037,-0.060647209,0.137959595
00:40.9,1.42E+12,0.049028795,0.15881123,-0.18332642,0.247453846,0.061072894,0.017543563,-0.063610274,0.141411773
00:40.9,1.42E+12,0.10232131,0.20251103,-0.13856082,0.265856105,0.062543763,0.020250821,-0.065805923,0.145158515
00:40.9,1.42E+12,0.09699179,0.17053579,-0.08633409,0.214344205,0.064163854,0.022318574,-0.067170207,0.148018123
00:40.9,1.42E+12,0.05542411,0.14495532,-0.068214744,0.169520288,0.065293663,0.023725495,-0.068427912,0.149912389
00:41.0,1.42E+12,0.07247766,0.06501655,-0.049029328,0.109013935,0.066231617,0.023554957,-0.069365856,0.150534782
00:41.0,1.42E+12,0.09805759,-0.008526909,-0.037305295,0.105260079,0.067404047,0.02246779,-0.070090635,0.151430544
00:41.0,1.42E+12,0.119374864,-0.024514664,-0.031975776,0.125991179,0.068896233,0.022148035,-0.070580928,0.153026823
00:41.0,1.42E+12,0.10445291,-0.041568484,-0.023448868,0.114839883,0.069919451,0.023107306,-0.070644876,0.15320078
00:41.1,1.42E+12,0.047962997,0.010658237,-0.028778385,0.056940693,0.069812871,0.026091687,-0.070431706,0.151267499
00:41.1,1.42E+12,0.031975243,0.082070366,-0.045831937,0.099290118,0.069279946,0.030653533,-0.069770885,0.149733084
00:41.1,1.42E+12,0.06288496,0.14175767,-0.073543996,0.171634713,0.069194683,0.035471175,-0.068854252,0.149784354
00:41.1,1.42E+12,0.10871663,0.15987702,-0.06075363,0.202659741,0.070239217,0.038945844,-0.067063622,0.150614586
00:41.1,1.42E+12,0.13003337,0.17373317,-0.036239497,0.220011802,0.071752718,0.041290709,-0.064505587,0.151376784
00:41.1,1.42E+12,0.11191402,0.16840392,-0.01279063,0.202603624,0.072711983,0.042548414,-0.061777013,0.151556374
00:41.2,1.42E+12,0.07993824,0.14388953,0.023448335,0.16626528,0.072989101,0.042804221,-0.059069755,0.151189595
00:41.2,1.42E+12,0.03943609,0.123638056,0.041567683,0.136269756,0.072392228,0.042505776,-0.056767522,0.150485276
00:41.2,1.42E+12,0.03943609,0.06288496,0.030909447,0.080405953,0.071603501,0.041226756,-0.055488501,0.149033985
00:41.2,1.42E+12,0.08420196,-0.004263721,-0.003197924,0.084370469,0.0714756,0.039244278,-0.055659039,0.148095776
00:41.2,1.42E+12,0.088465154,-0.031975776,-0.036239497,0.100805927,0.071390331,0.036707558,-0.057065966,0.147372528
00:41.3,1.42E+12,0.09699179,-0.10019025,-0.06075363,0.152106861,0.071880614,0.032550737,-0.059155024,0.147675954
00:41.3,1.42E+12,0.13216496,-0.16733865,-0.07674138,0.226625329,0.07318095,0.027221485,-0.061670428,0.149620933
00:41.3,1.42E+12,0.10232131,-0.16947025,-0.0852683,0.215546977,0.074012314,0.021977508,-0.064121884,0.151592543
00:41.3,1.42E+12,0.05116039,-0.0852683,-0.092729405,0.135966213,0.073777823,0.018737325,-0.066210953,0.152313755
