time,time_milisec,ax,ay,az,resultant,MA_x,Ma_y,Ma_z,Ma_R,,,
55:29.6,1.42E+12,-2.2285657,-11.537707,-1.4751823,11.8431985,-3.940891645,-8.845650249,-0.191173873,10.58895048,,,
55:29.6,1.42E+12,-3.1958542,-11.318413,-0.69470537,11.78145035,-3.953679337,-8.773821045,-0.128805609,10.51267566,,,
55:29.6,1.42E+12,-3.6476147,-11.648327,-0.7674541,12.23019218,-3.975793555,-8.719981984,-0.124177478,10.46535889,,,
55:29.7,1.42E+12,-3.0285022,-12.131073,-0.8969348,12.53551952,-3.948669349,-8.728773902,-0.164886701,10.46539892,,,
55:29.7,1.42E+12,-2.6716442,-13.284425,-1.5980768,13.64432042,-3.887284749,-8.79621631,-0.264631321,10.50008821,,,
55:29.7,1.42E+12,-2.749183,-14.350059,-3.6552489,15.06130954,-3.811691945,-8.882165127,-0.406224631,10.55320887,,,
55:29.7,1.42E+12,-1.8010547,-14.220878,-3.686534,14.80093585,-3.663640633,-8.947634106,-0.505920378,10.56326527,,,
55:29.7,1.42E+12,-1.4432987,-14.193185,0.81924635,14.2898837,-3.503333178,-9.002249106,-0.439867943,10.54881021,,,
55:29.8,1.42E+12,-3.6682718,-11.6435375,3.8981936,12.814995,-3.439413031,-9.0244733,-0.35830592,10.55409583,,,
55:29.8,1.42E+12,-5.2471886,-10.125244,3.3197966,11.87748306,-3.48344901,-9.019701586,-0.338770012,10.57067528,,,
55:29.8,1.42E+12,-6.704558,-10.870544,2.2369483,12.96625476,-3.55911819,-9.043239361,-0.295757415,10.62774945,,,
55:29.9,1.42E+12,-9.478739,-11.537108,-0.6343808,14.9450257,-3.686762957,-9.126964218,-0.333396491,10.76553725,,,
55:29.9,1.42E+12,-8.619526,-11.788286,-2.595303,14.83224571,-3.795827998,-9.257728008,-0.427434613,10.93327673,,,
55:29.9,1.42E+12,-6.186186,-9.977352,2.7768755,12.06347743,-3.84886058,-9.379837345,-0.427788977,11.05595343,,,
55:29.9,1.42E+12,-3.5078056,-9.772578,1.4052777,10.47772811,-3.844278271,-9.512935061,-0.450309491,11.15653866,,,
55:29.9,1.42E+12,-3.7001555,-8.447534,0.34413436,9.228781602,-3.845139747,-9.622458341,-0.480839879,11.24030348,,,
55:29.9,1.42E+12,-3.2802787,-7.2082605,1.3906082,8.040711346,-3.834304118,-9.718399651,-0.471980751,11.30927465,,,
55:29.9,1.42E+12,-3.345992,-5.360952,2.1932392,6.689227683,-3.833867271,-9.799601204,-0.445549998,11.36927619,,,
55:30.0,1.42E+12,-3.4067657,-4.4671607,2.8782148,6.312344865,-3.835852939,-9.863102831,-0.388087857,11.42510194,,,
55:30.0,1.42E+12,-3.6380346,-3.645519,2.4295976,5.694563111,-3.847049041,-9.873535214,-0.328743917,11.45097291,,,
55:30.0,1.42E+12,-3.8960981,-3.4064662,1.6390915,5.428647467,-3.849120247,-9.797163422,-0.210749493,11.37621094,,,
55:30.0,1.42E+12,-3.9327717,-2.6113198,1.3443544,4.90845934,-3.816460608,-9.513503296,0.109917332,11.01565338,,,
55:30.0,1.42E+12,-3.62576,-1.2277468,1.1085947,3.985282925,-3.797917527,-9.148696598,0.484099428,10.5639293,,,
55:30.1,1.42E+12,-3.2775843,-2.0359163,0.04445755,3.858690257,-3.789311953,-8.989275053,0.689689255,10.34605757,,,
55:30.1,1.42E+12,-2.7187963,-4.0079155,-1.2178674,4.993840304,-3.718588612,-8.923262329,0.756872002,10.23292283,,,
55:30.1,1.42E+12,-4.011508,-8.945398,-6.9687586,12.02813112,-3.638541802,-9.00152509,0.618080005,10.28576642,,,
55:30.1,1.42E+12,-5.6785913,-17.655785,-17.267641,25.3405716,-3.604183665,-9.229507131,0.28520591,10.60175041,,,
55:30.2,1.42E+12,-4.251609,-15.887063,-14.216986,21.73931095,-3.539579237,-9.33812311,-0.064546376,10.77530914,,,
55:30.2,1.42E+12,-4.3860292,-7.379654,-7.698641,11.53107187,-3.429973486,-9.213065804,-0.256538972,10.66879851,,,
55:30.2,1.42E+12,-7.0012407,-5.7296352,-1.4763799,9.166558159,-3.507814676,-9.1125544,-0.316652741,10.62693724,,,
55:30.2,1.42E+12,-6.5825615,-3.9806721,-0.34548157,7.700339199,-3.604822131,-9.061556369,-0.419131474,10.61679533,,,
55:30.2,1.42E+12,-6.015241,-6.0025177,2.5339308,8.86758977,-3.682758018,-9.082130929,-0.503186274,10.62217915,,,
55:30.2,1.42E+12,-8.967552,-10.427466,4.4339294,14.45021681,-3.806892741,-9.149060112,-0.542951545,10.71284556,,,
55:30.3,1.42E+12,-8.4978285,-15.6992035,-0.29428804,17.85398233,-3.925403435,-9.246443327,-0.609113958,10.83979462,,,
55:30.3,1.42E+12,-1.5305672,-11.0387945,1.8268012,11.29313166,-3.938322488,-9.200516378,-0.539090185,10.79647554,,,
55:30.3,1.42E+12,-0.90816146,-6.3665605,4.651128,7.936676982,-3.929955193,-9.098294265,-0.437173548,10.72463852,,,
55:30.3,1.42E+12,-1.9896625,-5.6467075,6.964118,9.183844618,-3.915041309,-9.032483173,-0.314413524,10.72170507,,,
55:30.3,1.42E+12,-2.8003767,-9.594298,6.481971,11.91254011,-3.892429152,-9.071729102,-0.191680985,10.78885466,,,
