time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
55:29.9,1.42E+12,203.8,183.3,78.5,63.2,32.8,2,77.6,89.2,0.203,0.31,0.066
55:29.9,1.42E+12,207.8,155.1,80.2,61.6,52.8,0,74.4,70.3,0.217,0.447,0.13
55:29.9,1.42E+12,178.2,171.1,106.8,74.4,49.9,32.6,79.2,70.3,0.11,0.178,-0.09
55:29.9,1.42E+12,174.3,159.1,66.4,47.6,48.5,27.2,82.5,75.4,0.301,0.203,-0.022
55:30.0,1.42E+12,189.9,155.1,96,66.4,49.9,0,72.8,80.5,0.354,0.345,0.037
55:30.0,1.42E+12,144.1,135.7,66.4,61.6,49.9,0,124.5,89.2,0.032,0.169,-0.027
55:30.0,1.42E+12,131.3,111.1,52.9,84.1,54.3,0,97.3,106.7,0.159,0.193,-0.086
55:30.0,1.42E+12,113.4,114.8,73.3,56.9,44.2,0,95.7,119.3,0.13,0.291,-0.061
55:30.1,1.42E+12,108.2,94.6,73.3,53.8,61.6,1,105.7,148.9,0.276,0.437,0.095
55:30.1,1.42E+12,90.8,101.9,92.5,58.5,60.1,0,99,183.8,0.1,0.33,-0.169
55:30.1,1.42E+12,75.6,91,56.3,47.6,64.6,15.5,119.3,203.9,0.081,0.384,0.09
55:30.2,1.42E+12,90.8,82,58,79.2,57.2,0,109.1,226.7,0.271,0.252,-0.144
55:30.2,1.42E+12,94.3,73.2,54.6,49.1,66.1,0,126.3,403.2,0.13,0.335,-0.071
55:30.2,1.42E+12,90.8,73.2,59.7,53.8,55.8,3.1,104,274.4,0.056,0.164,-0.242
55:30.2,1.42E+12,89.1,66.2,68.1,52.2,44.2,0,115.9,245.9,0.061,0.281,-0.315
55:30.4,1.42E+12,90.8,66.2,34.8,39.9,51.4,0,105.7,245.9,0.095,0.433,-0.374
55:30.4,1.42E+12,82.4,74.9,78.5,69.6,44.2,15.5,97.3,237.3,0.061,0.203,-0.349
55:30.4,1.42E+12,87.4,64.5,33.2,32.3,48.5,22.9,102.3,124.8,0.066,0.193,-0.692
55:30.5,1.42E+12,75.6,59.3,41.3,50.7,49.9,0,92.3,119.3,0.296,0.257,-0.902
55:30.5,1.42E+12,101.2,64.5,41.3,46,45.6,0,85.8,106.7,0.037,0.051,-0.408
55:30.5,1.42E+12,80.7,45.6,34.8,49.1,10.7,1,85.8,92.6,0.657,0.213,-0.271
55:30.5,1.42E+12,87.4,61,38.1,47.6,32.8,0,77.6,117.5,0.726,0.193,0.912
55:30.5,1.42E+12,85.7,45.6,43,53.8,49.9,0,72.8,84,0.799,0.447,1.019
55:30.5,1.42E+12,79,57.6,64.7,44.5,51.4,0,60.1,84,0.545,0.481,0.271
55:30.5,1.42E+12,69,67.9,26.7,27.8,48.5,15.5,74.4,85.7,0.12,0.33,-0.086
55:30.5,1.42E+12,75.6,52.4,39.7,56.9,73.5,0,66.4,84,0.252,0.252,-0.037
55:30.6,1.42E+12,87.4,64.5,31.6,39.9,44.2,0,72.8,87.4,-0.154,0.032,-0.198
55:30.6,1.42E+12,72.3,62.7,38.1,44.5,32.8,0,60.1,82.3,-0.134,0.213,-0.55
55:30.6,1.42E+12,80.7,92.8,31.6,46,32.8,0,64.8,105,-0.154,0.301,-1.063
55:30.6,1.42E+12,75.6,57.6,25.1,44.5,45.6,0,71.2,63.6,-0.154,0.447,-1.361
55:30.7,1.42E+12,79,62.7,64.7,44.5,44.2,0,53.8,75.4,-0.022,0.53,-1.254
55:30.7,1.42E+12,82.4,52.4,39.7,26.3,41.3,0,72.8,63.6,-0.051,0.389,-1.327
55:30.7,1.42E+12,99.4,64.5,34.8,46,45.6,0,69.6,70.3,0.291,0.276,-1.307
55:30.7,1.42E+12,124.1,80.3,44.6,58.5,48.5,7.2,71.2,75.4,-0.066,0.208,0.848
55:30.8,1.42E+12,159,143.4,39.7,52.2,30,3.1,68,65.3,-0.071,0.193,0.11
55:30.8,1.42E+12,211.8,185.3,61.3,58.5,39.9,442.8,64.8,90.9,0.628,0.34,-1.405
55:30.8,1.42E+12,211.8,171.1,58,55.4,48.5,0,66.4,63.6,-0.188,0.447,0.286
55:30.9,1.42E+12,195.8,181.2,20.3,60.1,57.2,26.1,47.6,82.3,-0.017,0.203,-0.066
55:30.9,1.42E+12,195.8,183.3,52.9,43,55.8,0,71.2,53.7,0.11,0.418,0.164
55:30.9,1.42E+12,220,183.3,66.4,61.6,57.2,0,66.4,63.6,0.354,0.247,-0.061
55:30.9,1.42E+12,205.8,185.3,63,58.5,58.7,0,72.8,68.7,0.125,0.169,0.042
55:31.0,1.42E+12,182,171.1,66.4,61.6,32.8,0,74.4,70.3,0.364,0.535,0.125
55:31.0,1.42E+12,166.6,219,64.7,55.4,39.9,0,72.8,105,0.183,0.301,-0.037
55:31.0,1.42E+12,149.7,151.2,63,53.8,60.1,0,72.8,63.6,0.198,0.442,0.095
55:31.0,1.42E+12,133.1,141.4,97.8,64.8,44.2,15.5,76,90.9,0.125,0.203,-0.09
55:31.1,1.42E+12,125.9,137.6,52.9,41.4,49.9,24,94,96.1,0.217,0.203,-0.105
55:31.1,1.42E+12,155.3,113,85.4,53.8,52.8,0,85.8,115.7,0.345,0.413,0.061
55:31.1,1.42E+12,129.5,111.1,58,58.5,54.3,0,152.9,147,0.051,0.217,0.007
55:31.2,1.42E+12,102.9,109.3,56.3,61.6,39.9,6.2,105.7,164.2,0.115,0.174,-0.081
55:31.2,1.42E+12,96,100.1,69.9,50.7,21.7,0,126.3,220.4,0.149,0.203,-0.134
55:31.2,1.42E+12,96,80.3,58,58.5,54.3,0,140.3,218.3,0.178,0.442,0.13
55:31.2,1.42E+12,87.4,82,41.3,58.5,66.1,2,147.5,252.4,0.022,0.193,-0.13
55:31.3,1.42E+12,82.4,71.4,54.6,35.4,55.8,15.5,143.9,270,0.061,0.374,-0.061
55:31.3,1.42E+12,75.6,59.3,52.9,47.6,81.1,1,133.3,272.2,0.193,0.213,-0.276
55:31.3,1.42E+12,106.4,73.2,41.3,53.8,60.1,0,131.5,270,0.017,0.183,-0.369
55:31.5,1.42E+12,92.6,66.2,47.9,53.8,35.7,1,109.1,267.7,-0.11,0.188,-0.613
55:31.5,1.42E+12,89.1,64.5,46.3,52.2,35.7,0,117.6,203.9,-0.13,0.169,-0.589
55:31.5,1.42E+12,79,71.4,39.7,56.9,47.1,0,105.7,126.6,0.1,0.447,-0.638
55:31.5,1.42E+12,82.4,71.4,73.3,55.4,54.3,0,72.8,106.7,0.604,0.296,-0.242
55:31.5,1.42E+12,82.4,69.7,26.7,35.4,52.8,15.5,110.8,92.6,0.516,0.188,-0.169
55:31.5,1.42E+12,75.6,38.9,41.3,50.7,52.8,18.7,72.8,97.9,0.853,0.193,0.897
55:31.5,1.42E+12,97.7,61,39.7,49.1,42.8,0,89,85.7,0.745,0.291,0.863
55:31.6,1.42E+12,80.7,59.3,39.7,47.6,28.6,0,79.2,87.4,0.56,0.535,0.433
55:31.6,1.42E+12,82.4,66.2,44.6,49.1,35.7,0,84.1,75.4,0.134,0.296,0.002
55:31.6,1.42E+12,94.3,62.7,33.2,52.2,44.2,0,82.5,63.6,0.227,0.437,0.154
55:31.6,1.42E+12,74,64.5,52.9,49.1,45.6,0,52.2,84,0.335,0.252,-0.105
55:31.6,1.42E+12,80.7,66.2,14,39.9,45.6,0,77.6,77.1,-0.017,0.193,-0.398
55:31.7,1.42E+12,101.2,66.2,34.8,52.2,49.9,7.2,66.4,73.7,0.266,0.208,-0.965
55:31.7,1.42E+12,101.2,55.8,38.1,35.4,75,0,72.8,77.1,-0.12,0.217,-1.386
55:31.7,1.42E+12,75.6,52.4,30,44.5,32.8,2,77.6,78.8,0.125,0.477,-1.347
55:31.8,1.42E+12,77.3,92.8,38.1,39.9,32.8,0,72.8,90.9,0.174,0.301,-1.405
55:31.8,1.42E+12,75.6,52.4,33.2,47.6,42.8,1,79.2,63.6,0.237,0.447,-1.332
55:31.8,1.42E+12,89.1,71.4,31.6,47.6,66.1,0,72.8,75.4,-0.594,0.046,0.066
55:31.8,1.42E+12,138.6,153.2,14,35.4,44.2,24,69.6,70.3,-0.301,0.31,0.159
55:31.9,1.42E+12,203.8,173.1,58,52.2,51.4,25.1,60.1,70.3,1.694,0.217,-1.405
55:31.9,1.42E+12,230.3,210.4,54.6,71.2,52.8,0,68,96.1,-0.393,0.061,0.154
55:31.9,1.42E+12,205.8,187.4,54.6,84.1,76.5,0,90.7,70.3,0.056,0.203,-0.149
55:32.0,1.42E+12,207.8,236.4,78.5,60.1,37.1,1,72.8,90.9,0.154,0.188,-0.125
55:32.0,1.42E+12,191.8,185.3,64.7,53.8,52.8,7.2,76,77.1,0.276,0.462,0.115
55:32.0,1.42E+12,187.9,189.5,80.2,63.2,32.8,6.2,76,72,0.115,0.051,-0.198
55:32.0,1.42E+12,166.6,179.2,52.9,52.2,54.3,32.6,79.2,82.3,0.051,0.31,-0.144
55:32.0,1.42E+12,172.4,163.1,59.7,64.8,55.8,0,72.8,84,0.398,0.213,-0.002
55:32.1,1.42E+12,159,143.4,59.7,61.6,49.9,0,89,156.5,0.164,0.305,0.007
55:32.1,1.42E+12,127.7,124.2,58,66.4,38.5,1,82.5,126.6,0.125,0.174,-0.09
55:32.1,1.42E+12,118.7,120.4,64.7,60.1,48.5,1,90.7,128.4,0.296,0.389,0.071
55:32.2,1.42E+12,108.2,111.1,52.9,58.5,54.3,15.5,97.3,168.1,0.213,0.452,0.066
55:32.2,1.42E+12,96,100.1,66.4,56.9,48.5,0,85.8,199.8,0.345,0.511,0.11
55:32.2,1.42E+12,97.7,98.2,43,49.1,54.3,32.6,121.1,218.3,0.139,0.393,0.12
55:32.3,1.42E+12,75.6,66.2,54.6,33.8,61.6,4.1,126.3,243.7,0.232,0.222,-0.061
55:32.3,1.42E+12,115.2,83.8,52.9,53.8,49.9,2,180.5,278.9,-0.022,0.247,-0.042
55:32.3,1.42E+12,90.8,66.2,52.9,56.9,37.1,0,126.3,276.7,0.027,0.193,-0.247
55:32.3,1.42E+12,90.8,73.2,96,49.1,57.2,0,129.7,281.2,0.086,0.305,-0.301
55:32.3,1.42E+12,94.3,74.9,52.9,53.8,51.4,0,152.9,265.5,0.144,0.423,-0.227
55:32.5,1.42E+12,92.6,78.5,38.1,50.7,52.8,4.1,89,283.4,-0.051,0.193,-0.662
55:32.5,1.42E+12,80.7,73.2,52.9,41.4,48.5,32.6,128,212.1,0.061,0.193,-0.569
55:32.5,1.42E+12,92.6,67.9,47.9,44.5,44.2,1,99,150.8,0.193,0.203,-0.863
55:32.5,1.42E+12,115.2,82,39.7,47.6,66.1,2,94,128.4,0.095,0.056,-0.565
55:32.5,1.42E+12,85.7,42.3,41.3,52.2,41.3,1,87.4,105,0.525,0.525,-0.335
55:32.6,1.42E+12,87.4,64.5,41.3,58.5,1.3,1,97.3,103.2,0.623,0.305,0.667
