time,time_milisec,ax,ay,az,resultant,MA_ax,MA_ay,MA_az,MA_R
41:18.4,1.42E+12,0.76820254,-2.202819,-9.574839,9.854952489,2.991382393,-4.851902404,-7.50963463,9.632664457
41:18.4,1.42E+12,0.68781966,-2.174977,-8.960815,9.246611612,2.94092532,-4.723307804,-7.52029545,9.568296244
41:18.4,1.42E+12,0.41493714,-2.0318747,-8.818911,9.059463497,2.878726663,-4.580118558,-7.540326796,9.498076487
41:18.5,1.42E+12,-0.22528152,-1.3768369,-8.926388,9.034757016,2.830577786,-4.447039296,-7.582847376,9.463829343
41:18.5,1.42E+12,-0.5005591,-1.0014175,-8.88193,8.95221073,2.782734278,-4.331207166,-7.668675896,9.474592704
41:18.5,1.42E+12,-0.48334488,-0.8015831,-8.705597,8.755773916,2.741105845,-4.239962912,-7.785576808,9.523999139
41:18.5,1.42E+12,-0.46553192,-0.7509883,-8.536748,8.582352231,2.680359166,-4.140255258,-7.862651538,9.538865171
41:18.5,1.42E+12,-0.11032059,-0.49996033,-9.014255,9.028783095,2.622585309,-4.022797513,-7.928646306,9.539453901
41:18.6,1.42E+12,-0.2643503,-0.47316605,-9.558074,9.573429155,2.547696043,-3.90673187,-7.9898211,9.537277103
41:18.6,1.42E+12,-0.37841308,-0.47675857,-9.059011,9.079436959,2.460786769,-3.797204641,-8.0492984,9.531029605
41:18.6,1.42E+12,-0.21195923,-0.53049684,-8.880733,8.899088281,2.380730246,-3.69675453,-8.09767482,9.522503661
41:18.6,1.42E+12,-0.2574646,-0.7008426,-8.738528,8.770367152,2.310214882,-3.596765454,-8.129926746,9.504051168
41:18.6,1.42E+12,-0.001496887,-0.8804691,-9.457334,9.498231123,2.249043091,-3.495201662,-8.179452766,9.500535816
41:18.7,1.42E+12,0.43604323,-1.2998968,-9.648636,9.74556525,2.185727755,-3.399406872,-8.237088916,9.499644492
41:18.7,1.42E+12,0.6059399,-1.273402,-9.503139,9.607203894,2.117580473,-3.310207362,-8.284854596,9.492189584
41:18.7,1.42E+12,0.6538403,-1.0346484,-9.39641,9.475786265,2.055142313,-3.214900556,-8.329467824,9.482462646
41:18.7,1.42E+12,0.7589218,-0.7975415,-9.12712,9.193277666,1.996829577,-3.115749746,-8.371934512,9.47069961
41:18.7,1.42E+12,0.5960605,-0.75458086,-8.49274,8.54700609,1.934774623,-3.004372363,-8.393145418,9.432924883
41:18.8,1.42E+12,0.23650818,-0.64919996,-8.322843,8.351473661,1.867669167,-2.888088174,-8.410871558,9.390212973
41:18.8,1.42E+12,0.2868036,-0.8822653,-8.518336,8.568704486,1.799105747,-2.7867519,-8.431594466,9.356476602
41:18.9,1.42E+12,0.5005591,-0.9633966,-8.629255,8.697283155,1.729201115,-2.700728792,-8.457882786,9.333253585
41:18.9,1.42E+12,0.73078036,-1.2383748,-8.591384,8.710883486,1.66054189,-2.6263335,-8.482835896,9.311664984
41:18.9,1.42E+12,0.7601193,-1.5706837,-8.9039345,9.073305804,1.595547046,-2.555165494,-8.514812406,9.297426109
41:18.9,1.42E+12,0.79200304,-1.9068847,-8.93477,9.170255887,1.540844801,-2.492553696,-8.551719658,9.293133182
41:18.9,1.42E+12,1.0359956,-2.1194427,-9.142239,9.441708435,1.493246779,-2.433732022,-8.591824264,9.294122552
41:18.9,1.42E+12,1.1746074,-2.1248314,-9.209,9.523670092,1.446370261,-2.38068533,-8.628638714,9.295395318
41:18.9,1.42E+12,1.3934523,-2.0082238,-8.837921,9.169706634,1.399775157,-2.330069586,-8.651933264,9.285561302
41:18.9,1.42E+12,1.3587245,-1.8269508,-8.568931,8.866253999,1.354398515,-2.274029122,-8.670764104,9.270258627
41:19.0,1.42E+12,1.8630258,-1.8098863,-8.45397,8.84399018,1.318682785,-2.219641228,-8.691498984,9.258624814
